|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Facility                   | Location                        | Date           | 6:00 AM           | 7:00 AM          | 8:00 AM           | 9:00 AM | 10:00 AM | 11:00 AM | 12:00 PM | 1:00 PM | 2:00 PM          | 3:00 PM          | 4:00 PM           | 5:00 PM          | 6:00 PM          | 7:00 PM          | 8:00 PM | 9:00 PM          | 10:00 PM         | 11:00 PM | Total Count      | Status |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Nick Raquetball Court 1         | 9/1/2021 0:00  |                 0 |                  |                 0 |       2 |          |        1 |        0 |       1 |                0 |                2 |                 2 |                1 |                2 |                2 |       1 |                0 |                  |          |               14 | Active |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Nick Raquetball Court 2         | 9/1/2021 0:00  |                 0 |                  |                 0 |         |        1 |        1 |        0 |       1 |                0 |                2 |                 0 |                3 |                  |                0 |       2 |                2 |                  |          |               12 | Active |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Balance (level 3)               | 9/1/2021 0:00  |                 0 |                0 |                   |       0 |          |        0 |        0 |       0 |                0 |                0 |                 0 |                  |                0 |                0 |       0 |                  |                  |          |                0 | Active |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Spark (level 3)                 | 9/1/2021 0:00  |                 0 |                0 |                   |       0 |          |        0 |        0 |       0 |                0 |                0 |                 0 |                0 |                  |                0 |       0 |                  |                  |          |                0 | Active |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Revolution (Spin LL)            | 9/1/2021 0:00  |                 0 |                  |                 0 |         |        0 |        0 |        0 |       0 |                0 |                1 |                 7 |                  |                7 |               10 |       0 |                  |                  |          |               25 | Active |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Nick Level 3 Fitness            | 9/1/2021 0:00  |                32 |               47 |                65 |      86 |      110 |      105 |      103 |     107 |               91 |              104 |                96 |                  |               80 |               37 |      39 |               36 |                  |       16 |             1154 | Active |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Momentum (level 2)              | 9/1/2021 0:00  |                 0 |                0 |                   |       0 |          |        0 |        0 |       0 |                0 |                0 |                 0 |                  |                0 |                0 |       0 |                  |                  |          |                0 | Active |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Nick Level 1 Fitness            | 9/1/2021 0:00  |                15 |               25 |  21.6666666666667 |      54 |       50 |       76 |       49 |      47 |               32 |               51 |                50 |                  |               35 |               37 |      31 |              9.5 |                  |        5 | 588.166666666667 | Active |
